[0.000000] (-) TimerEvent: {}
[0.000959] (-) JobUnselected: {'identifier': 'fishbot_application'}
[0.001023] (-) JobUnselected: {'identifier': 'fishbot_navigation2'}
[0.001067] (fishbot_description) JobQueued: {'identifier': 'fishbot_description', 'dependencies': OrderedDict()}
[0.312150] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/refs/remotes/origin\n'}
[0.312241] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/refs/remotes/origin/HEAD\n'}
[0.312331] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/refs/tags\n'}
[0.312576] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/config\n'}
[0.312669] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/HEAD\n'}
[0.312761] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/logs\n'}
[0.312853] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/logs/refs\n'}
[0.313061] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/logs/refs/heads\n'}
[0.313668] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/logs/refs/heads/ros1\n'}
[0.313794] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/logs/refs/remotes\n'}
[0.314336] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/logs/refs/remotes/origin\n'}
[0.314926] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/logs/refs/remotes/origin/HEAD\n'}
[0.315040] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/logs/HEAD\n'}
[0.315245] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/packed-refs\n'}
[0.315341] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/hooks\n'}
[0.315835] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/hooks/prepare-commit-msg.sample\n'}
[0.316090] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/hooks/push-to-checkout.sample\n'}
[0.316206] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/hooks/post-update.sample\n'}
[0.316564] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/hooks/pre-merge-commit.sample\n'}
[0.316660] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/hooks/pre-rebase.sample\n'}
[0.316889] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/hooks/update.sample\n'}
[0.316989] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/hooks/commit-msg.sample\n'}
[0.317106] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/hooks/pre-receive.sample\n'}
[0.317221] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/hooks/applypatch-msg.sample\n'}
[0.317368] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/hooks/pre-applypatch.sample\n'}
[0.317498] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/hooks/pre-commit.sample\n'}
[0.317677] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/hooks/fsmonitor-watchman.sample\n'}
[0.317803] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/.git/hooks/pre-push.sample\n'}
[0.319373] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_utility.py\n'}
[0.319519] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/README.md\n'}
[0.319679] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/setup.sh\n'}
[0.319785] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models\n'}
[0.319889] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/database.config\n'}
[0.319992] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/BMWCart\n'}
[0.320102] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/BMWCart/model.sdf\n'}
[0.320205] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/BMWCart/thumbnails\n'}
[0.320313] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/BMWCart/thumbnails/1.png\n'}
[0.320414] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/BMWCart/thumbnails/3.png\n'}
[0.320527] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/BMWCart/thumbnails/4.png\n'}
[0.320666] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/BMWCart/thumbnails/5.png\n'}
[0.320787] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/BMWCart/thumbnails/2.png\n'}
[0.320891] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/BMWCart/meshes\n'}
[0.322222] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/BMWCart/meshes/Cart_BMW_SpecGloss.png\n'}
[0.322505] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/BMWCart/meshes/Cart_BMW.obj\n'}
[0.322645] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/BMWCart/meshes/Cart_BMW_Diffuse.png\n'}
[0.322748] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/BMWCart/meshes/Cart_BMW_Col.obj\n'}
[0.322855] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/BMWCart/meshes/Carts_Wheels_Diffuse.png\n'}
[0.324508] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/BMWCart/meshes/Cart_BMW_Col.mtl\n'}
[0.325507] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/BMWCart/meshes/Cart_BMW_Normal.png\n'}
[0.326397] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/BMWCart/meshes/Cart_BMW.mtl\n'}
[0.327177] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/BMWCart/model.config\n'}
[0.327478] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCoverOpen\n'}
[0.328258] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCoverOpen/model.sdf\n'}
[0.328657] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCoverOpen/thumbnails\n'}
[0.329044] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCoverOpen/thumbnails/1.png\n'}
[0.329911] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCoverOpen/thumbnails/3.png\n'}
[0.330783] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCoverOpen/thumbnails/4.png\n'}
[0.331727] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCoverOpen/thumbnails/5.png\n'}
[0.332032] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCoverOpen/thumbnails/2.png\n'}
[0.332321] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCoverOpen/meshes\n'}
[0.332731] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCoverOpen/meshes/StorageRackCoverOpen.png\n'}
[0.333124] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCoverOpen/meshes/StorageRackCoverOpen.obj\n'}
[0.333507] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCoverOpen/meshes/StorageRackCoverOpen.mtl\n'}
[0.334513] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/StorageRackCoverOpen/model.config\n'}
[0.335425] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderLadyPatient\n'}
[0.336029] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderLadyPatient/model.sdf\n'}
[0.337101] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderLadyPatient/thumbnails\n'}
[0.338038] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderLadyPatient/thumbnails/1.png\n'}
[0.338339] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderLadyPatient/thumbnails/3.png\n'}
[0.338608] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderLadyPatient/thumbnails/4.png\n'}
[0.338742] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderLadyPatient/thumbnails/5.png\n'}
[0.338857] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderLadyPatient/thumbnails/2.png\n'}
[0.338970] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderLadyPatient/meshes\n'}
[0.339083] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderLadyPatient/meshes/CGMVanguard_Diffuse.png\n'}
[0.339267] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderLadyPatient/meshes/ElderFemale.mtl\n'}
[0.339505] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderLadyPatient/meshes/Carts_Wheels_Diffuse.png\n'}
[0.339648] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderLadyPatient/meshes/ElderFPatient_color.jpg\n'}
[0.339807] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderLadyPatient/meshes/ElderFemale.obj\n'}
[0.340023] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/ElderLadyPatient/model.config\n'}
[0.340166] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Toilet\n'}
[0.340280] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Toilet/model.sdf\n'}
[0.340500] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Toilet/thumbnails\n'}
[0.340771] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Toilet/thumbnails/1.png\n'}
[0.340885] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Toilet/thumbnails/3.png\n'}
[0.340990] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Toilet/thumbnails/4.png\n'}
[0.341211] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Toilet/thumbnails/5.png\n'}
[0.341314] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Toilet/thumbnails/2.png\n'}
[0.341622] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Toilet/meshes\n'}
[0.341775] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Toilet/meshes/toilet.obj\n'}
[0.341894] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Toilet/meshes/toilet.mtl\n'}
[0.342008] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/Toilet/model.config\n'}
[0.342121] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/VisitorKidSit\n'}
[0.342234] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/VisitorKidSit/model.sdf\n'}
[0.342502] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/VisitorKidSit/thumbnails\n'}
[0.342651] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/VisitorKidSit/thumbnails/1.png\n'}
[0.342918] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/VisitorKidSit/thumbnails/3.png\n'}
[0.343268] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/VisitorKidSit/thumbnails/4.png\n'}
[0.343381] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/VisitorKidSit/thumbnails/5.png\n'}
[0.343900] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/VisitorKidSit/thumbnails/2.png\n'}
[0.344145] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/VisitorKidSit/meshes\n'}
[0.344376] (fishbot_description) StdoutLine: {'line': b'-- Up-to-date: /home/azf/slam_ws/install/fishbot_description/share/fishbot_description/world/aws-robomaker-hospital-world/fuel_models/VisitorKidSit/meshes/VisitorKidSit_Col.obj\n'}
